Title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Running time,Budget,Box office,Production companies,Screenplay by,Story by,Release date,Countries,Languages,Rotten Tomatoes
X-Men Origins: Wolverine,Gavin Hood,,Wolverine by  Roy Thomas Len Wein John Romita Sr.,"['Lauren Shuler Donner', 'Ralph Winter', 'Hugh Jackman', 'John Palermo']","['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Dominic Monaghan', 'Ryan Reynolds']",Donald McAlpine,"['Nicolas De Toth', 'Megan Gill']",['Harry Gregson-Williams'],20th Century Fox,107,150000000.0,373100000.0,"['Marvel Entertainment', ""Donners' Company"", 'Seed Productions']","
 David Benioff 
 Skip Woods 
",,2009-04-09,United States,English,38.0
Iron Man 2,Jon Favreau,,Iron Man by  Stan Lee Larry Lieber Don Heck Jack Kirby,['Kevin Feige'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']",Matthew Libatique,"['Dan Lebental', 'Richard Pearson']",['John Debney'],Paramount Pictures,125,170000000.0,623900000.0,['Marvel Studios'],Justin Theroux,,2010-04-26,United States,English,72.0
Thor,Kenneth Branagh,,Thor by  Stan Lee Larry Lieber Jack Kirby,['Kevin Feige'],"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Colm Feore', 'Ray Stevenson', 'Idris Elba', 'Kat Dennings', 'Rene Russo', 'Anthony Hopkins']",Haris Zambarloukos,['Paul Rubell'],['Patrick Doyle'],Paramount Pictures,114,150000000.0,450300000.0,['Marvel Studios'],"
 Ashley Edward Miller 
 Zack Stentz 
 Don Payne 
","['J. Michael Straczynski', 'Mark Protosevich']",2011-04-17,United States,English,77.0
X-Men: First Class,Matthew Vaughn,,X-Men by  Stan Lee Jack Kirby,"['Lauren Shuler Donner', 'Bryan Singer', 'Simon Kinberg', 'Gregory Goodman']","['James McAvoy', 'Michael Fassbender', 'Rose Byrne', 'Jennifer Lawrence', 'January Jones', 'Oliver Platt', 'Kevin Bacon']",John Mathieson,"['Lee Smith', 'Eddie Hamilton']",['Henry Jackman'],20th Century Fox,131,140000000.0,353600000.0,"['Marvel Entertainment', ""The Donners' Company"", 'Bad Hat Harry Productions', 'Dune Entertainment', 'Ingenious Film Partners']","
 Ashley Edward Miller 
 Zack Stentz 
 Jane Goldman 
 Matthew Vaughn 
","['Sheldon Turner', 'Bryan Singer']",2011-05-25,"
 United States 
 United Kingdom 
",English,86.0
Captain America: The First Avenger,Joe Johnston,,Captain America by  Joe Simon Jack Kirby,['Kevin Feige'],"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']",Shelly Johnson,"['Jeffrey Ford', 'Robert Dalva']",['Alan Silvestri'],Paramount Pictures,124,140000000.0,370600000.0,['Marvel Studios'],Christopher Markus Stephen McFeely,,2011-07-19,United States,English,79.0
Ghost Rider: Spirit of Vengeance,Neveldine/Taylor,,Johnny Blaze by  Roy Thomas Gary Friedrich Mike Ploog,"['Steven Paul', 'Ashok Amritraj', 'Michael De Luca', 'Avi Arad']","['Nicolas Cage', 'Ciarán Hinds', 'Violante Placido', 'Johnny Whitworth', 'Christopher Lambert', 'Idris Elba']",Brandon Trost,['Brian Berdan'],['David Sardy'],Columbia Pictures  (through  Sony Pictures Releasing ),95,57000000.0,132600000.0,"['Marvel Entertainment', 'Crystal Sky Pictures', 'Hyde Park Entertainment', 'Imagenation Abu Dhabi']","
 Scott M. Gimple 
 Seth Hoffman 
 David S. Goyer 
",['David S. Goyer'],2011-12-11,United States,English,18.0
The Avengers,Joss Whedon,,Avengers by  Stan Lee Jack Kirby,['Kevin Feige'],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Seamus McGarvey,"['Jeffrey Ford', 'Lisa Lassek']",['Alan Silvestri'],Walt Disney Studios Motion Pictures,143,220000000.0,1519000000.0,['Marvel Studios'],Joss Whedon,"['Zak Penn', 'Joss Whedon']",2012-04-11,United States,English,91.0
The Amazing Spider-Man,Marc Webb,,Spider-Man by  Stan Lee Steve Ditko,"['Laura Ziskin', 'Avi Arad', 'Matt Tolmach']","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott', 'Irrfan Khan', 'Martin Sheen', 'Sally Field']",John Schwartzman,"['Alan Edward Bell', 'Pietro Scalia']",['James Horner'],Sony Pictures Releasing,136,200000000.0,758000000.0,"['Columbia Pictures', 'Marvel Entertainment', 'Laura Ziskin Productions', 'Arad Productions, Inc.', 'Matt Tolmach Productions']","
 James Vanderbilt 
 Alvin Sargent 
 Steve Kloves 
",['James Vanderbilt'],2012-06-13,United States,English,72.0
Iron Man 3,Shane Black,,Iron Man by  Stan Lee Don Heck Larry Lieber Jack Kirby,['Kevin Feige'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",John Toll,"['Jeffrey Ford', 'Peter S. Elliot']",['Brian Tyler'],Walt Disney Studios Motion Pictures,131,200000000.0,1215000000.0,['Marvel Studios'],"
 Shane Black 
 Drew Pearce 
",,2013-04-14,United States,English,79.0
The Wolverine,James Mangold,,Wolverine by  Chris Claremont Frank Miller,"['Lauren Shuler Donner', 'Hutch Parker']","['Hugh Jackman', 'Hiroyuki Sanada', 'Tao Okamoto', 'Rila Fukushima', 'Famke Janssen', 'Will Yun Lee']",Ross Emery,['Michael McCusker'],['Marco Beltrami'],20th Century Fox,126,100000000.0,414800000.0,"['Marvel Entertainment', ""Donners' Company"", 'TSG Entertainment']","
 Mark Bomback 
 Scott Frank 
",,2013-07-26,"
 United States 
 United Kingdom 
","
 English 
 Japanese 
",71.0
Thor: The Dark World,Alan Taylor,,Thor by  Stan Lee Larry Lieber Jack Kirby,['Kevin Feige'],"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo']",Kramer Morgenthau,"['Dan Lebental', 'Wyatt Smith']",['Brian Tyler'],Walt Disney Studios Motion Pictures,112,150000000.0,644800000.0,['Marvel Studios'],"
 Christopher Yost 
 Christopher Markus Stephen McFeely 
","['Don Payne', 'Robert Rodat']",2013-10-22,United States,English,66.0
Captain America: The Winter Soldier,"Anthony Russo Joe Russo 
",,Captain America by  Joe Simon Jack Kirby,['Kevin Feige'],"['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",['Henry Jackman'],Walt Disney Studios Motion Pictures,136,170000000.0,714400000.0,['Marvel Studios'],"
 Christopher Markus 
 Stephen McFeely 
",,2014-03-13,United States,English,90.0
The Amazing Spider-Man 2,Marc Webb,,Spider-Man by  Stan Lee Steve Ditko,"['Avi Arad', 'Matt Tolmach']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Campbell Scott', 'Embeth Davidtz', 'Colm Feore', 'Paul Giamatti', 'Sally Field']",Dan Mindel,['Pietro Scalia'],"['Hans Zimmer', 'The Magnificent Six']",Sony Pictures Releasing,142,200000000.0,709000000.0,"['Columbia Pictures', 'Marvel Entertainment', 'Arad Productions, Inc.', 'Matt Tolmach Productions']","
 Alex Kurtzman 
 Roberto Orci 
 Jeff Pinkner 
","['Alex Kurtzman', 'Roberto Orci', 'Jeff Pinkner', 'James Vanderbilt']",2014-04-18,United States,English,51.0
X-Men: Days of Future Past,Bryan Singer,,"
 X-Men by  Stan Lee  Jack Kirby 
 Days of Future Past by  Chris Claremont  John Byrne 
","['Bryan Singer', 'Lauren Shuler Donner', 'Simon Kinberg', 'Hutch Parker']","['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry', 'Anna Paquin', 'Elliot Page', 'Peter Dinklage', 'Ian McKellen', 'Patrick Stewart']",Newton Thomas Sigel,['John Ottman'],['John Ottman'],20th Century Fox,132,200000000.0,746000000.0,"['Marvel Entertainment', 'Bad Hat Harry', ""The Donners' Company"", 'Genre Films', 'TSG Entertainment']",Simon Kinberg,"['Jane Goldman', 'Simon Kinberg', 'Matthew Vaughn']",2014-05-10,United States United Kingdom,English,90.0
